T1,0,3
T2,7,3
T3,11,18
T4,18,2
T5,20,3
T6,29,20
T7,30,20
T8,40,18
T9,46,10
T10,48,12
T11,57,14
T12,68,11
T13,74,4
T14,77,3
T15,80,13
T16,90,4
T17,98,15
T18,101,8
T19,112,8
T20,119,18
T21,124,9
T22,126,10
T23,131,2
T24,133,12
T25,136,15
T26,138,5
T27,146,20
T28,149,6
T29,159,9
T30,166,6
T31,167,11
T32,173,11
T33,179,3
T34,184,13
T35,193,11
T36,195,1
T37,198,20
T38,207,2
T39,218,13
T40,228,10
T41,235,11
T42,242,15
T43,250,1
T44,256,5
T45,257,19
T46,259,19
T47,261,18
T48,271,12
T49,275,1
T50,284,13
T51,288,3
T52,290,5
T53,301,19
T54,302,5
T55,311,2
T56,314,20
T57,321,9
T58,328,12
T59,334,17
T60,342,14
T61,348,11
T62,356,4
T63,359,6
T64,367,13
T65,377,19
T66,382,20
T67,391,14
T68,402,10
T69,405,20
T70,406,13
T71,413,15
T72,414,5
T73,419,4
T74,430,19
T75,438,20
T76,446,11
T77,452,17
T78,463,13
T79,469,12
T80,473,4
T81,479,18
T82,489,13
T83,499,7
T84,508,8
T85,512,6
T86,520,3
T87,529,4
T88,538,4
T89,541,1
T90,548,8
T91,550,20
T92,559,13
T93,565,20
T94,574,17
T95,585,1
T96,594,18
T97,600,18
T98,606,9
T99,612,8
T100,620,16
